"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar productos","el usuario hace la compra","SUCCESS","2022-05-30T23:41:46.8883271-05:00[America/Bogota]","0.0","138.54"
"Ingresar Usuario Registrado","Ingresar Usuario correctamente","SUCCESS","2022-05-30T23:44:22.1377611-05:00[America/Bogota]","0.0","122.49"
"Ingresar Usuario Registrado","Ingresar Usuario registrado con password incorrectamente","SUCCESS","2022-05-30T23:46:24.6543439-05:00[America/Bogota]","0.0","25.51"
"Registrar Usuario","Registrar Usuario","ERROR","2022-05-30T16:06:28.2149303-05:00[America/Bogota]","0.0","40.91"
"Registrar Usuario","Registrar Usuario nuevo","SUCCESS","2022-05-30T23:46:56.6077569-05:00[America/Bogota]","0.0","99.66"
"Registrar Usuario","Registrar Usuario repetido","SUCCESS","2022-05-30T23:48:36.2972568-05:00[America/Bogota]","0.0","89.21"
