"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar Usuario","Registrar Usuario nuevo","SUCCESS","2022-05-30T23:46:56.6077569-05:00[America/Bogota]","0.0","99.66"
"Registrar Usuario","Registrar Usuario repetido","SUCCESS","2022-05-30T23:48:36.2972568-05:00[America/Bogota]","0.0","89.21"
